ID,Age,Gender,Undergraduate_Major,Undergraduate_GPA,WorkYrsExp,CrtJob,Present_Salary,MngExp,Undergrade_UniRank,Entrepreneurial_Interest,Networking,Scholarship_Type,Post_Job,Expected_Salary,Post_Work_Loc,Reason,Study_Type,Response,TOEIC_Score
1,27,Male,Arts,3.18,8,Entrepreneur,90624,No,185,7.9,7.6,Loan,Finance Manager,156165,International,Entrepreneurship,On-Campus,Yes,850
2,24,Male,Arts,3.03,4,Analyst,53576,Yes,405,3.8,4.1,Loan,Startup Founder,165612,International,Career Growth,Online,No,990
3,33,Female,Business,3.66,9,Engineer,79796,No,107,6.7,5.5,Scholarship,Consultant,122248,Domestic,Skill Enhancement,Online,No,600
4,31,Male,Engineering,2.46,1,Manager,105956,No,257,1.0,5.3,Loan,Consultant,123797,International,Entrepreneurship,On-Campus,No,550
5,28,Female,Business,2.75,9,Entrepreneur,96132,No,338,9.5,4.9,Loan,Consultant,197509,Domestic,Skill Enhancement,Online,Yes,650
6,33,Male,Business,3.58,3,Manager,101925,No,280,3.4,7.1,Scholarship,Marketing Director,99591,International,Networking,On-Campus,No,600
7,25,Female,Arts,3.06,5,Consultant,81962,No,158,9.2,8.3,Self-funded,Executive,119223,International,Networking,Online,No,550
8,27,Male,Engineering,2.8,6,Engineer,100072,Yes,190,2.9,9.6,Loan,Finance Manager,199447,International,Entrepreneurship,On-Campus,Yes,750
9,30,Female,Arts,2.06,6,Entrepreneur,118689,Yes,455,9.1,4.7,Scholarship,Executive,76037,Domestic,Career Growth,On-Campus,Yes,700
10,23,Female,Arts,3.51,3,Entrepreneur,112387,No,411,6.0,7.3,Scholarship,Startup Founder,92294,International,Entrepreneurship,Online,Yes,850
11,27,Male,Arts,3.94,9,Analyst,39156,No,436,2.6,6.1,Employer,Executive,119126,Domestic,Networking,On-Campus,No,850
12,31,Other,Arts,3.24,9,Manager,72597,No,283,3.9,2.6,Loan,Finance Manager,69698,International,Entrepreneurship,On-Campus,Yes,900
13,31,Male,Economics,3.71,4,Entrepreneur,81938,No,323,8.5,3.7,Employer,Consultant,159371,Domestic,Entrepreneurship,On-Campus,No,650
14,28,Female,Science,3.03,3,Manager,114728,No,117,9.6,8.6,Employer,Consultant,97889,Domestic,Entrepreneurship,Online,Yes,600
15,25,Female,Engineering,2.46,9,Consultant,84941,No,208,8.9,8.3,Employer,Marketing Director,190224,Domestic,Skill Enhancement,Online,Yes,850
16,24,Male,Economics,2.03,5,Analyst,62979,No,4,8.8,8.7,Self-funded,Marketing Director,173363,Domestic,Networking,On-Campus,Yes,900
17,28,Male,Science,3.31,6,Consultant,110931,No,429,1.0,1.4,Employer,Marketing Director,193921,Domestic,Networking,Online,Yes,650
18,28,Male,Science,2.99,1,Analyst,90655,Yes,185,5.0,9.9,Loan,Finance Manager,180546,Domestic,Career Growth,On-Campus,No,800
19,23,Male,Science,3.56,9,Analyst,53915,Yes,384,8.5,6.0,Scholarship,Marketing Director,82471,Domestic,Skill Enhancement,Online,Yes,700
20,26,Male,Economics,3.39,2,Manager,87774,No,385,1.3,5.6,Scholarship,Marketing Director,147362,International,Career Growth,Online,Yes,500
21,25,Male,Engineering,3.98,7,Analyst,33258,Yes,225,7.2,7.6,Scholarship,Executive,72714,Domestic,Career Growth,Online,Yes,600
22,22,Male,Business,3.02,6,Consultant,112179,No,44,5.5,2.2,Scholarship,Executive,166538,Domestic,Skill Enhancement,Online,Yes,990
23,28,Female,Science,2.85,0,Consultant,64522,No,109,8.1,3.1,Scholarship,Executive,137619,International,Skill Enhancement,Online,No,700
24,32,Male,Business,2.57,3,Consultant,73357,No,346,3.3,9.5,Scholarship,Marketing Director,65370,Domestic,Career Growth,On-Campus,No,850
25,34,Male,Business,2.95,4,Manager,92146,Yes,359,8.9,2.9,Employer,Marketing Director,104662,International,Skill Enhancement,Online,No,550
26,26,Female,Arts,3.75,2,Manager,95581,No,195,3.7,4.0,Scholarship,Startup Founder,87905,Domestic,Entrepreneurship,Online,No,900
27,22,Male,Business,2.08,3,Engineer,54538,No,4,9.6,3.2,Loan,Marketing Director,122034,International,Entrepreneurship,On-Campus,No,500
28,32,Male,Arts,3.96,9,Entrepreneur,64723,No,417,6.8,5.4,Employer,Marketing Director,85873,International,Skill Enhancement,Online,Yes,800
29,25,Male,Engineering,3.99,9,Engineer,32274,No,434,2.8,8.2,Employer,Marketing Director,144660,Domestic,Entrepreneurship,On-Campus,No,900
30,21,Female,Engineering,3.2,9,Engineer,37735,No,133,8.0,8.5,Self-funded,Executive,96946,Domestic,Career Growth,On-Campus,No,850
31,32,Female,Arts,2.66,6,Analyst,31739,No,381,5.8,3.9,Employer,Marketing Director,154959,Domestic,Skill Enhancement,Online,No,990
32,30,Male,Engineering,2.45,7,Analyst,117586,No,221,4.7,1.7,Self-funded,Executive,119391,International,Skill Enhancement,Online,Yes,990
33,26,Female,Science,2.55,8,Engineer,110849,Yes,308,5.2,2.0,Self-funded,Executive,177546,Domestic,Networking,On-Campus,No,850
34,33,Female,Engineering,2.1,1,Entrepreneur,43549,No,11,4.6,8.3,Scholarship,Finance Manager,140714,International,Skill Enhancement,Online,Yes,800
35,32,Female,Arts,2.95,3,Engineer,108948,No,131,7.4,4.9,Self-funded,Marketing Director,163083,Domestic,Networking,On-Campus,Yes,500
36,29,Female,Science,2.11,0,Manager,61510,No,274,3.3,8.4,Scholarship,Executive,114106,Domestic,Networking,On-Campus,Yes,600
37,21,Female,Business,3.44,2,Consultant,112253,Yes,286,5.6,1.1,Employer,Executive,196140,Domestic,Entrepreneurship,On-Campus,Yes,700
38,31,Male,Business,2.74,7,Engineer,97066,No,465,7.8,1.3,Loan,Executive,120725,International,Skill Enhancement,Online,Yes,990
39,31,Male,Business,2.4,6,Analyst,30555,Yes,174,2.3,3.8,Loan,Marketing Director,166030,International,Skill Enhancement,On-Campus,Yes,990
40,30,Male,Arts,3.09,7,Entrepreneur,56624,No,222,3.6,2.8,Scholarship,Startup Founder,136291,Domestic,Entrepreneurship,Online,No,650
41,32,Female,Business,3.95,5,Analyst,50417,No,94,2.9,6.8,Self-funded,Marketing Director,183695,International,Entrepreneurship,On-Campus,No,850
42,32,Female,Engineering,3.39,4,Manager,113083,No,481,6.1,6.3,Scholarship,Marketing Director,128025,International,Career Growth,On-Campus,No,850
43,34,Female,Business,2.98,9,Analyst,101564,No,145,4.7,9.0,Scholarship,Startup Founder,72613,Domestic,Networking,On-Campus,Yes,650
44,34,Other,Economics,3.55,8,Analyst,75978,Yes,167,3.9,8.1,Employer,Marketing Director,188208,Domestic,Entrepreneurship,On-Campus,Yes,700
45,34,Male,Economics,3.47,4,Entrepreneur,62498,Yes,80,4.2,1.9,Scholarship,Finance Manager,152764,International,Networking,On-Campus,No,990
46,23,Female,Business,3.78,8,Entrepreneur,81172,No,289,5.2,9.0,Loan,Finance Manager,78468,International,Skill Enhancement,Online,Yes,500
47,32,Female,Business,2.41,3,Analyst,70453,No,367,4.8,2.1,Employer,Marketing Director,98133,Domestic,Networking,Online,Yes,600
48,27,Other,Economics,3.72,4,Analyst,36023,No,450,7.4,2.8,Employer,Finance Manager,134882,Domestic,Networking,Online,No,550
49,24,Other,Business,2.6,0,Engineer,119364,Yes,66,7.2,5.5,Self-funded,Executive,89770,International,Skill Enhancement,Online,No,900
50,29,Female,Science,3.88,5,Manager,81092,No,472,1.2,2.0,Employer,Consultant,136348,International,Career Growth,Online,No,600
51,23,Male,Economics,2.56,2,Engineer,83548,Yes,133,7.4,3.0,Loan,Marketing Director,168859,Domestic,Entrepreneurship,Online,No,650
52,25,Female,Arts,3.85,9,Entrepreneur,92533,Yes,164,3.0,5.0,Self-funded,Startup Founder,123415,International,Networking,On-Campus,Yes,600
53,23,Male,Economics,3.93,1,Engineer,37016,No,259,4.8,3.2,Loan,Executive,97109,International,Career Growth,On-Campus,No,550
54,27,Female,Engineering,2.29,5,Engineer,88554,No,360,3.0,9.5,Scholarship,Startup Founder,80499,Domestic,Entrepreneurship,Online,No,600
55,25,Female,Science,3.95,0,Analyst,83405,Yes,160,2.1,2.5,Self-funded,Startup Founder,192401,International,Career Growth,Online,Yes,800
56,29,Male,Arts,2.17,8,Analyst,39546,Yes,142,6.3,6.2,Employer,Consultant,128880,Domestic,Career Growth,Online,Yes,550
57,27,Female,Business,2.44,4,Manager,68793,No,378,9.6,5.5,Employer,Finance Manager,67776,Domestic,Networking,Online,No,800
58,22,Male,Engineering,2.89,6,Consultant,70344,Yes,422,4.3,5.1,Loan,Startup Founder,65814,International,Career Growth,Online,Yes,550
59,24,Male,Engineering,3.99,9,Consultant,102143,Yes,247,7.1,3.1,Loan,Marketing Director,192258,International,Career Growth,Online,No,800
60,29,Male,Science,2.98,8,Engineer,56706,No,491,5.1,2.7,Self-funded,Marketing Director,107755,International,Skill Enhancement,Online,Yes,850
61,32,Female,Arts,3.1,8,Manager,70521,Yes,133,2.6,3.7,Loan,Executive,110849,International,Networking,Online,Yes,750
62,34,Female,Engineering,3.39,6,Manager,53406,No,485,9.3,6.3,Scholarship,Executive,133094,Domestic,Networking,Online,No,500
